time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1722349584.3778942,2600.000,2600.000,2600.006,800.000,2599.993,800.000,2600.000,2599.904,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2322.229,2322.320,2322.221,2322.226,2321.477,2321.526,2321.493,2321.492
1722349585.3946588,2599.993,2600.020,2599.993,800.000,2600.000,800.000,2600.000,2600.000,2599.993,800.000,2599.993,800.000,2600.006,800.000,2600.006,800.000,2322.367,2322.168,2322.338,2322.350,2321.791,2321.801,2321.780,2321.646
1722349586.41134,2600.000,2599.989,2600.000,800.000,2600.000,800.000,2599.993,800.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2599.993,800.000,2321.649,2321.618,2321.589,2321.661,2325.316,2325.248,2325.302,2325.253
1722349587.4284852,2600.000,2600.000,2599.993,800.000,2600.000,800.000,2600.006,800.000,2600.006,800.000,2600.000,800.000,2600.006,800.000,2599.993,800.000,2322.220,2322.096,2321.975,2322.190,2321.575,2321.168,2321.563,2321.627
1722349588.4457963,2599.993,2600.021,2599.993,800.000,2600.000,800.000,2599.993,800.000,2599.993,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2322.221,2321.938,2322.229,2322.214,2322.687,2322.674,2322.679,2322.728
1722349589.4635854,2600.000,2600.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2599.993,800.000,2599.993,800.000,2600.000,800.000,2600.000,800.000,2322.156,2322.172,2322.166,2322.151,2321.834,2321.847,2321.823,2321.830
1722349590.4806232,2600.000,2600.000,2600.000,800.000,2600.006,800.000,2600.006,800.000,2600.000,800.000,2600.006,800.000,2600.006,800.000,2600.000,800.000,2326.103,2326.088,2326.115,2326.225,2323.128,2323.095,2323.136,2323.226
1722349591.4967492,2600.000,2599.990,2600.006,800.000,2600.000,800.000,2599.993,800.000,2599.993,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2322.161,2322.314,2322.168,2322.188,2325.213,2325.244,2325.238,2325.285
1722349592.5138333,2599.993,2600.010,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2599.993,800.000,2600.000,800.000,2322.376,2322.198,2322.271,2322.326,2321.629,2321.427,2321.429,2321.195
1722349593.5305872,2600.000,2600.020,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2322.608,2322.610,2322.535,2322.590,2325.792,2325.746,2325.754,2325.786
1722349594.546482,2599.993,2600.020,2600.006,800.000,2600.000,800.000,2600.000,800.000,2599.993,800.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2322.604,2322.565,2322.635,2322.585,2321.718,2321.710,2321.729,2321.792
1722349595.5637567,2600.006,2600.016,2600.006,800.000,2600.000,800.000,2599.993,800.000,2599.993,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2321.535,2321.644,2321.534,2321.568,2321.432,2321.442,2321.395,2321.417
1722349596.5805383,2600.000,2600.000,2600.000,2599.847,2600.000,800.000,2599.993,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2321.963,2322.243,2322.246,2322.106,2325.373,2325.292,2325.363,2325.370
1722349597.5978422,2600.000,2599.989,2599.993,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2323.687,2323.771,2323.823,2323.764,2324.557,2324.654,2324.532,2324.583
1722349598.6144001,2700.000,2700.022,2700.000,800.000,2699.993,800.000,2700.000,800.000,2700.000,800.000,2699.993,800.000,2700.000,800.000,2700.000,800.000,2322.648,2322.700,2322.695,2322.766,2321.378,2321.316,2321.409,2321.373
1722349599.6304665,2599.993,2600.010,2599.993,800.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2599.993,800.000,2323.626,2323.650,2323.624,2323.597,2321.680,2321.553,2321.644,2321.550
